max_depth, n_estimators, accuracy
68, 600, 0.9340801215112966
68, 700, 0.9340801215112966
68, 800, 0.9336434402885893
68, 900, 0.9332067590658818
69, 100, 0.9301537877349535
69, 200, 0.931892918169736
69, 300, 0.9327700778431744
69, 400, 0.932333396620467
69, 500, 0.9332067590658818
69, 600, 0.9340801215112966
69, 700, 0.9340801215112966
69, 800, 0.9336434402885893
69, 900, 0.9332067590658818
70, 100, 0.9301537877349535
70, 200, 0.931892918169736
70, 300, 0.9327700778431744
70, 400, 0.932333396620467
70, 500, 0.9332067590658818
70, 600, 0.9340801215112966
70, 700, 0.9340801215112966
70, 800, 0.9336434402885893
70, 900, 0.9332067590658818
71, 100, 0.9301537877349535
71, 200, 0.931892918169736
71, 300, 0.9327700778431744
71, 400, 0.932333396620467
71, 500, 0.9332067590658818
71, 600, 0.9340801215112966
71, 700, 0.9340801215112966
71, 800, 0.9336434402885893
71, 900, 0.9332067590658818
72, 100, 0.9301537877349535
72, 200, 0.931892918169736
72, 300, 0.9327700778431744
72, 400, 0.932333396620467
72, 500, 0.9332067590658818
72, 600, 0.9340801215112966
72, 700, 0.9340801215112966
72, 800, 0.9336434402885893
72, 900, 0.9332067590658818
73, 100, 0.9301537877349535
73, 200, 0.931892918169736
73, 300, 0.9327700778431744
73, 400, 0.932333396620467
73, 500, 0.9332067590658818
73, 600, 0.9340801215112966
73, 700, 0.9340801215112966
73, 800, 0.9336434402885893
73, 900, 0.9332067590658818
74, 100, 0.9301537877349535
74, 200, 0.931892918169736
74, 300, 0.9327700778431744
74, 400, 0.932333396620467
74, 500, 0.9332067590658818
74, 600, 0.9340801215112966
74, 700, 0.9340801215112966
74, 800, 0.9336434402885893
74, 900, 0.9332067590658818
75, 100, 0.9301537877349535
75, 200, 0.931892918169736
75, 300, 0.9327700778431744
75, 400, 0.932333396620467
75, 500, 0.9332067590658818
75, 600, 0.9340801215112966
75, 700, 0.9340801215112966
75, 800, 0.9336434402885893
75, 900, 0.9332067590658818
76, 100, 0.9301537877349535
76, 200, 0.931892918169736
76, 300, 0.9327700778431744
76, 400, 0.932333396620467
76, 500, 0.9332067590658818
76, 600, 0.9340801215112966
76, 700, 0.9340801215112966
76, 800, 0.9336434402885893
76, 900, 0.9332067590658818
77, 100, 0.9301537877349535
77, 200, 0.931892918169736
77, 300, 0.9327700778431744
77, 400, 0.932333396620467
